,Trial,Stimulus 1 Value,Stimulus 1 Std,Stimulus 2 Value,Stimulus 2 Std,Comparison Result
442,45.0,2.0,0.5,0.7000000000000037,0.1,False
443,45.0,2.0,0.5,0.7000000000000037,0.1,False
444,45.0,2.0,0.5,0.7000000000000037,0.1,False
445,45.0,2.0,0.5,0.7000000000000037,0.1,False
446,45.0,2.0,0.5,0.7000000000000037,0.1,False
447,45.0,2.0,0.5,0.7000000000000037,0.1,False
448,45.0,2.0,0.5,0.7000000000000037,0.1,False
449,45.0,2.0,0.5,0.7000000000000037,0.1,False
450,46.0,2.0,0.5,0.8000000000000034,0.1,False
451,46.0,2.0,0.5,0.8000000000000034,0.1,False
452,46.0,2.0,0.5,0.8000000000000034,0.1,False
453,46.0,2.0,0.5,0.8000000000000034,0.1,False
454,46.0,2.0,0.5,0.8000000000000034,0.1,False
455,46.0,2.0,0.5,0.8000000000000034,0.1,False
456,46.0,2.0,0.5,0.8000000000000034,0.1,False
457,46.0,2.0,0.5,0.8000000000000034,0.1,False
458,46.0,2.0,0.5,0.8000000000000034,0.1,False
459,46.0,2.0,0.5,0.8000000000000034,0.1,False
460,47.0,2.0,0.5,0.9000000000000039,0.1,False
461,47.0,2.0,0.5,0.9000000000000039,0.1,False
462,47.0,2.0,0.5,0.9000000000000039,0.1,False
463,47.0,2.0,0.5,0.9000000000000039,0.1,False
464,47.0,2.0,0.5,0.9000000000000039,0.1,False
465,47.0,2.0,0.5,0.9000000000000039,0.1,False
466,47.0,2.0,0.5,0.9000000000000039,0.1,False
467,47.0,2.0,0.5,0.9000000000000039,0.1,False
468,47.0,2.0,0.5,0.9000000000000039,0.1,False
469,47.0,2.0,0.5,0.9000000000000039,0.1,False
470,48.0,2.0,0.5,1.0000000000000044,0.1,False
471,48.0,2.0,0.5,1.0000000000000044,0.1,False
472,48.0,2.0,0.5,1.0000000000000044,0.1,False
473,48.0,2.0,0.5,1.0000000000000044,0.1,False
474,48.0,2.0,0.5,1.0000000000000044,0.1,False
475,48.0,2.0,0.5,1.0000000000000044,0.1,False
476,48.0,2.0,0.5,1.0000000000000044,0.1,False
